hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,46.0,True,True,True,False,False,False,False,False,False,False,False,False,False,False
1,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,45.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,46.0,False,False,True,True,True,True,True,True,True,True,False,False,False,False
6,48.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
7,51.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,53.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,53.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
11,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,55.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
14,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,56.0,False,False,False,True,True,True,True,True,True,True,True,True,True,True
16,55.0,True,True,False,False,False,False,False,False,False,False,False,False,False,False
17,55.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,53.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
20,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,50.0,True,True,True,False,False,False,True,True,True,True,True,True,True,True
22,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
