hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,54.0,True,True,True,True,True,False,False,False,False,True,True,True,True,True
1,53.0,True,False,False,True,True,True,True,True,True,True,True,True,True,True
2,52.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,51.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False
4,54.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
5,54.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,57.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
7,58.0,False,True,True,True,True,False,True,True,True,True,True,True,True,True
8,59.5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
10,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,62.0,True,True,False,False,False,False,False,False,True,True,True,False,True,True
12,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,62.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False
14,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,63.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,63.0,True,True,True,True,False,False,False,True,True,True,True,True,True,True
17,63.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True
18,62.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
19,61.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,60.0,False,False,True,True,True,True,True,True,True,True,True,True,True,True
21,59.0,True,True,True,True,False,False,True,True,True,True,True,True,True,True
22,58.0,True,True,True,True,False,False,True,True,True,True,True,True,True,True
23,57.0,True,True,True,True,True,True,True,True,False,True,True,True,False,False
