hour,dt_sound_level_dB,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,days_11,days_12,days_13,days_14
0,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,45.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,45.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
8,48.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
9,48.0,True,False,True,True,True,True,True,True,True,True,True,True,True,True
10,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
11,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
12,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
13,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
14,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
15,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
16,50.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
17,49.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
18,48.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
20,47.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
21,46.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
23,46.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True
